query	page	country	clicks	impressions	ctr	position	start_date	end_date	domain
oil and gas executive recruiters	https://www.energists.com/sector/oil-gas-recruiters/	CA	1.0	3.0	0.3333333333333333	3.6666666666666665	2023-01-03	2022-12-06	energists.com
oil and gas headhunters	https://www.energists.com/sector/oil-gas-recruiters/	AE	1.0	13.0	0.07692307692307693	8.384615384615385	2023-01-03	2022-12-06	energists.com
oil and gas headhunters	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	109.0	0.009174311926605505	6.165137614678899	2023-01-03	2022-12-06	energists.com
oil and gas recruiter	https://www.energists.com/location/denver-energy-recruiters/	US	1.0	1.0	1.0	5.0	2023-01-03	2022-12-06	energists.com
oil and gas recruiter	https://www.energists.com/sector/oil-gas-recruiters/	ID	1.0	10.0	0.1	12.9	2023-01-03	2022-12-06	energists.com
oil and gas recruiter	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	92.0	0.010869565217391304	10.619565217391305	2023-01-03	2022-12-06	energists.com
oil and gas recruiters dallas tx	https://www.energists.com/location/dallas-energy-recruiters/	MX	1.0	1.0	1.0	3.0	2023-01-03	2022-12-06	energists.com
oil and gas recruiters dallas tx	https://www.energists.com/location/dallas-energy-recruiters/	US	1.0	3.0	0.3333333333333333	3.0	2023-01-03	2022-12-06	energists.com
oil and gas recruiters houston	http://www.energists.com/	US	1.0	15.0	0.06666666666666667	1.0666666666666667	2023-01-03	2022-12-06	energists.com
oil and gas recruiters oklahoma city	https://www.energists.com/location/oklahoma-city-energy-recruiters/	US	1.0	6.0	0.16666666666666666	3.0	2023-01-03	2022-12-06	energists.com
oil and gas recruiting firms	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	57.0	0.017543859649122806	6.385964912280702	2023-01-03	2022-12-06	energists.com
oil and gas recruitment	https://www.energists.com/sector/oil-gas-recruiters/	CA	1.0	10.0	0.1	57.3	2023-01-03	2022-12-06	energists.com
oil and gas recruitment agencies	https://www.energists.com/sector/oil-gas-recruiters/	KZ	1.0	2.0	0.5	27.5	2023-01-03	2022-12-06	energists.com
oil field recruiters	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	40.0	0.025	6.375	2023-01-03	2022-12-06	energists.com
oilfield headhunters	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	25.0	0.04	5.04	2023-01-03	2022-12-06	energists.com
oilfield recruiter	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	15.0	0.06666666666666667	5.0	2023-01-03	2022-12-06	energists.com
oilfield recruiters	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	66.0	0.015151515151515152	2.7272727272727275	2023-01-03	2022-12-06	energists.com
recruiter tulsa	https://www.energists.com/location/tulsa-energy-recruiters/	US	1.0	5.0	0.2	16.4	2023-01-03	2022-12-06	energists.com
recruiters in houston for oil and gas	https://www.energists.com/location/houston-energy-recruiters/	GB	1.0	1.0	1.0	1.0	2023-01-03	2022-12-06	energists.com
renewable energy recruiters	https://www.energists.com/location/austin-energy-recruiters/	US	1.0	7.0	0.14285714285714285	4.714285714285714	2023-01-03	2022-12-06	energists.com
renewable energy recruiters	https://www.energists.com/location/sydney-energy-recruiters/	AU	1.0	2.0	0.5	2.5	2023-01-03	2022-12-06	energists.com
the energist	http://www.energists.com/	US	1.0	3.0	0.3333333333333333	4.333333333333334	2023-01-03	2022-12-06	energists.com
the energists	https://www.energists.com/	CA	1.0	1.0	1.0	1.0	2023-01-03	2022-12-06	energists.com
the energists	https://www.energists.com/	GB	1.0	2.0	0.5	1.5	2023-01-03	2022-12-06	energists.com
the energists	https://www.energists.com/contact/	US	1.0	14.0	0.07142857142857142	1.5714285714285714	2023-01-03	2022-12-06	energists.com
the energists	https://www.energists.com/location/phoenix-energy-recruiters/	US	1.0	3.0	0.3333333333333333	9.333333333333334	2023-01-03	2022-12-06	energists.com
the energists	https://www.energists.com/team/	GB	1.0	2.0	0.5	1.5	2023-01-03	2022-12-06	energists.com
the energists	https://www.energists.com/team/	US	1.0	26.0	0.038461538461538464	1.4230769230769231	2023-01-03	2022-12-06	energists.com
top 10 oil and gas recruitment agencies	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	19.0	0.05263157894736842	8.052631578947368	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	AR	0.0	1.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	DZ	0.0	1.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	EC	0.0	1.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	ES	0.0	1.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	ID	0.0	2.0	0.0	7.5	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	IN	0.0	1.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	KR	0.0	2.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	RU	0.0	1.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	TR	0.0	2.0	0.0	8.0	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	US	0.0	6.0	0.0	7.833333333333333	2023-01-03	2022-12-06	energists.com
+energy +employment +recruiters	https://www.energists.com/location/london-energy-recruiters/	VN	0.0	2.0	0.0	7.5	2023-01-03	2022-12-06	energists.com
+energy +recruitment +consultants	https://www.energists.com/location/london-energy-recruiters/	KR	0.0	1.0	0.0	19.0	2023-01-03	2022-12-06	energists.com
+renewable +energy +recruitment +agencies	https://www.energists.com/location/houston-energy-recruiters/	IT	0.0	1.0	0.0	95.0	2023-01-03	2022-12-06	energists.com
+renewable +energy +recruitment +agencies	https://www.energists.com/location/houston-energy-recruiters/	KR	0.0	2.0	0.0	97.0	2023-01-03	2022-12-06	energists.com
+renewable +energy +recruitment +agencies	https://www.energists.com/location/houston-energy-recruiters/	MY	0.0	1.0	0.0	93.0	2023-01-03	2022-12-06	energists.com
+renewable +energy +recruitment +agencies	https://www.energists.com/location/houston-energy-recruiters/	PS	0.0	1.0	0.0	94.0	2023-01-03	2022-12-06	energists.com
+renewable +energy +recruitment +agencies	https://www.energists.com/sector/renewable-energy-recruiters/	TH	0.0	1.0	0.0	100.0	2023-01-03	2022-12-06	energists.com
oil and gas recruiters	https://www.energists.com/sector/oil-gas-recruiters/	US	9.0	162.0	0.05555555555555555	5.598765432098766	2022-12-06	2022-11-08	energists.com
energist	https://www.energists.com/	US	8.0	106.0	0.07547169811320754	2.7264150943396226	2022-12-06	2022-11-08	energists.com
energists	https://www.energists.com/	US	6.0	14.0	0.42857142857142855	1.0	2022-12-06	2022-11-08	energists.com
oil and gas headhunters	https://www.energists.com/sector/oil-gas-recruiters/	US	6.0	118.0	0.05084745762711865	4.635593220338983	2022-12-06	2022-11-08	energists.com
oil and gas recruiters houston	https://www.energists.com/location/houston-energy-recruiters/	US	6.0	66.0	0.09090909090909091	5.742424242424242	2022-12-06	2022-11-08	energists.com
